community_code,period_code,mean_pm25
VR-C-D01-C01,2024Q1,22.8
VR-C-D01-C01,2024Q2,20.9
VR-C-D01-C01,2024Q3,25.8
VR-C-D01-C02,2024Q1,40.1
VR-C-D01-C02,2024Q2,28.1
VR-C-D01-C02,2024Q4,28.4
VR-C-D01-C03,2024Q1,15.3
VR-C-D01-C03,2024Q2,16.4
VR-C-D01-C03,2024Q3,21.2
VR-C-D01-C03,2024Q4,18.1
VR-C-D02-C02,2024Q1,21.4
VR-C-D02-C02,2024Q2,23.8
VR-C-D02-C02,2024Q3,21.1
VR-C-D02-C02,2024Q4,30.3
VR-C-D02-C03,2024Q1,30.1
VR-C-D02-C03,2024Q2,29.0
VR-C-D02-C03,2024Q3,20.9
VR-C-D02-C03,2024Q4,33.7
VR-C-D03-C01,2024Q1,43.5
VR-C-D03-C01,2024Q2,36.5
VR-C-D03-C01,2024Q3,38.3
VR-C-D03-C01,2024Q4,37.0
VR-C-D03-C02,2024Q1,26.4
VR-C-D03-C02,2024Q2,30.2
VR-C-D03-C02,2024Q3,24.2
VR-C-D03-C02,2024Q4,18.5
VR-C-D03-C03,2024Q1,35.9
VR-C-D03-C03,2024Q3,38.0
VR-C-D03-C03,2024Q4,33.0
VR-C-D04-C01,2024Q1,53.7
VR-C-D04-C01,2024Q2,56.5
VR-C-D04-C01,2024Q3,57.5
VR-C-D04-C01,2024Q4,52.0
VR-C-D04-C02,2024Q1,40.0
VR-C-D04-C02,2024Q2,47.2
VR-C-D04-C02,2024Q3,43.9
VR-C-D04-C02,2024Q4,38.3
VR-N-D01-C01,2024Q1,60.1
VR-N-D01-C01,2024Q2,55.7
VR-N-D01-C01,2024Q3,56.2
VR-N-D01-C01,2024Q4,62.1
VR-N-D01-C02,2024Q1,60.5
VR-N-D01-C02,2024Q2,58.7
VR-N-D01-C02,2024Q3,51.3
VR-N-D01-C02,2024Q4,53.2
VR-N-D01-C03,2024Q1,34.0
VR-N-D01-C03,2024Q2,42.6
VR-N-D01-C03,2024Q3,37.4
VR-N-D01-C03,2024Q4,33.7
VR-N-D02-C01,2024Q1,46.6
VR-N-D02-C01,2024Q2,53.3
VR-N-D02-C01,2024Q3,51.5
VR-N-D02-C01,2024Q4,46.0
VR-N-D02-C02,2024Q1,40.0
VR-N-D02-C02,2024Q2,31.0
VR-N-D02-C02,2024Q3,36.6
VR-N-D02-C02,2024Q4,26.3
VR-N-D02-C03,2024Q1,30.4
VR-N-D02-C03,2024Q2,42.8
VR-N-D02-C03,2024Q3,38.2
VR-N-D02-C03,2024Q4,37.1
VR-N-D03-C01,2024Q1,42.5
VR-N-D03-C01,2024Q2,38.9
VR-N-D03-C01,2024Q3,44.4
VR-N-D03-C01,2024Q4,37.4
VR-N-D03-C02,2024Q1,28.1
VR-N-D03-C02,2024Q2,32.3
VR-N-D03-C02,2024Q3,36.4
VR-N-D03-C02,2024Q4,33.1
VR-N-D03-C03,2024Q1,22.1
VR-N-D03-C03,2024Q2,25.2
VR-N-D03-C03,2024Q3,27.0
VR-N-D03-C03,2024Q4,22.9
VR-N-D04-C01,2024Q1,28.2
VR-N-D04-C01,2024Q2,22.6
VR-N-D04-C01,2024Q3,33.2
VR-N-D04-C01,2024Q4,24.9
VR-N-D04-C02,2024Q1,43.2
VR-N-D04-C02,2024Q4,30.1
VR-N-D04-C03,2024Q1,49.3
VR-N-D04-C03,2024Q2,54.8
VR-N-D04-C03,2024Q3,50.7
VR-N-D04-C03,2024Q4,49.6
VR-S-D01-C01,2024Q2,25.7
VR-S-D01-C01,2024Q3,26.7
VR-S-D01-C01,2024Q4,29.1
VR-S-D01-C02,2024Q1,21.3
VR-S-D01-C02,2024Q2,15.0
VR-S-D01-C02,2024Q3,20.4
VR-S-D01-C02,2024Q4,23.7
VR-S-D01-C03,2024Q1,30.7
VR-S-D01-C03,2024Q2,31.6
VR-S-D01-C03,2024Q3,35.2
VR-S-D01-C03,2024Q4,29.7
VR-S-D02-C01,2024Q1,27.5
VR-S-D02-C01,2024Q2,29.4
VR-S-D02-C01,2024Q3,25.4
VR-S-D02-C01,2024Q4,27.9
VR-S-D02-C02,2024Q1,18.5
VR-S-D02-C02,2024Q2,23.0
VR-S-D02-C02,2024Q3,22.2
VR-S-D02-C02,2024Q4,27.0
VR-S-D02-C03,2024Q2,38.1
VR-S-D02-C03,2024Q3,33.9
VR-S-D02-C03,2024Q4,26.3
VR-S-D03-C02,2024Q1,36.4
VR-S-D03-C02,2024Q3,25.7
VR-S-D03-C02,2024Q4,35.3
VR-S-D03-C03,2024Q1,23.4
VR-S-D03-C03,2024Q2,28.5
VR-S-D03-C03,2024Q3,23.2
VR-S-D03-C03,2024Q4,27.5
VR-S-D04-C01,2024Q1,43.0
VR-S-D04-C01,2024Q3,40.3
VR-S-D04-C01,2024Q4,37.7
VR-S-D04-C02,2024Q1,39.0
VR-S-D04-C02,2024Q2,34.8
VR-S-D04-C02,2024Q3,31.7
VR-S-D04-C02,2024Q4,43.2
VR-S-D04-C03,2024Q1,53.4
VR-S-D04-C03,2024Q2,51.7
VR-S-D04-C03,2024Q3,47.9
VR-S-D04-C03,2024Q4,47.8
