community_code,period_code,mean_resp
VR-C-D01-C01,2024Q1,26.79
VR-C-D01-C01,2024Q2,42.49
VR-C-D01-C01,2024Q3,29.33
VR-C-D01-C01,2024Q4,44.57
VR-C-D01-C02,2024Q1,21.91
VR-C-D01-C02,2024Q2,36.14
VR-C-D01-C02,2024Q3,28.48
VR-C-D01-C02,2024Q4,41.62
VR-C-D01-C03,2024Q1,8.71
VR-C-D01-C03,2024Q2,21.1
VR-C-D01-C03,2024Q3,34.63
VR-C-D01-C03,2024Q4,16.05
VR-C-D02-C01,2024Q1,42.8
VR-C-D02-C01,2024Q2,15.56
VR-C-D02-C01,2024Q3,16.95
VR-C-D02-C01,2024Q4,27.52
VR-C-D02-C02,2024Q1,25.6
VR-C-D02-C02,2024Q2,28.83
VR-C-D02-C02,2024Q3,39.61
VR-C-D02-C02,2024Q4,32.07
VR-C-D02-C03,2024Q1,18.88
VR-C-D02-C03,2024Q2,11.62
VR-C-D02-C03,2024Q3,19.61
VR-C-D02-C03,2024Q4,44.3
VR-C-D03-C01,2024Q1,32.9
VR-C-D03-C01,2024Q2,24.3
VR-C-D03-C01,2024Q3,21.77
VR-C-D03-C01,2024Q4,38.98
VR-C-D03-C02,2024Q1,13.69
VR-C-D03-C02,2024Q2,12.25
VR-C-D03-C02,2024Q3,43.95
VR-C-D03-C03,2024Q1,13.73
VR-C-D03-C03,2024Q2,32.04
VR-C-D03-C03,2024Q4,28.6
VR-C-D04-C01,2024Q1,15.09
VR-C-D04-C01,2024Q2,22.51
VR-C-D04-C01,2024Q3,28.74
VR-C-D04-C01,2024Q4,26.11
VR-C-D04-C02,2024Q1,35.71
VR-C-D04-C02,2024Q2,34.03
VR-C-D04-C02,2024Q3,26.05
VR-C-D04-C03,2024Q1,14.72
VR-C-D04-C03,2024Q2,32.94
VR-C-D04-C03,2024Q3,17.06
VR-C-D04-C03,2024Q4,12.62
VR-N-D01-C01,2024Q1,15.33
VR-N-D01-C01,2024Q2,38.33
VR-N-D01-C01,2024Q3,21.25
VR-N-D01-C01,2024Q4,20.91
VR-N-D01-C02,2024Q1,33.67
VR-N-D01-C02,2024Q2,11.74
VR-N-D01-C02,2024Q3,8.42
VR-N-D01-C02,2024Q4,9.08
VR-N-D01-C03,2024Q1,38.13
VR-N-D01-C03,2024Q2,24.6
VR-N-D01-C03,2024Q3,36.9
VR-N-D02-C01,2024Q1,27.98
VR-N-D02-C01,2024Q2,36.66
VR-N-D02-C01,2024Q3,33.77
VR-N-D02-C01,2024Q4,43.9
VR-N-D02-C02,2024Q1,33.9
VR-N-D02-C02,2024Q2,33.9
VR-N-D02-C02,2024Q3,19.37
VR-N-D02-C02,2024Q4,31.48
VR-N-D02-C03,2024Q1,37.1
VR-N-D02-C03,2024Q2,15.55
VR-N-D02-C03,2024Q3,22.26
VR-N-D02-C03,2024Q4,10.25
VR-N-D03-C01,2024Q1,32.17
