community_code,district_code,period_code,score,risk_band,pm25_component,respiratory_component
VR-N-D01-C01,VR-N-D01,2024Q1,0.5838,high,0.991150442477876,0.19419184511586976
VR-N-D01-C02,VR-N-D01,2024Q1,0.5785,high,1.0,0.7321795247873277
VR-N-D01-C03,VR-N-D01,2024Q1,0.4063,moderate,0.413716814159292,0.8630096802581404
VR-N-D02-C01,VR-N-D02,2024Q1,0.4632,moderate,0.6924778761061947,0.5652684071575242
VR-N-D02-C02,VR-N-D02,2024Q1,0.3688,moderate,0.5464601769911503,0.7389263713699032
VR-N-D02-C03,VR-N-D02,2024Q1,0.4567,moderate,0.3340707964601769,0.8327955412144324
VR-N-D03-C01,VR-N-D03,2024Q1,0.4297,moderate,0.6017699115044247,0.6881783514227047
VR-N-D03-C02,VR-N-D03,2024Q1,0.2271,low,0.2831858407079646,0.4907597535934292
VR-N-D03-C03,VR-N-D03,2024Q1,0.251,low,0.1504424778761062,0.5608682898210618
VR-N-D04-C01,VR-N-D04,2024Q1,0.3603,moderate,0.2853982300884955,0.669697858609563
VR-N-D04-C02,VR-N-D04,2024Q1,0.5013,moderate,0.6172566371681416,0.6796714579055442
VR-N-D04-C03,VR-N-D04,2024Q1,0.4272,moderate,0.7522123893805309,0.4907597535934292
VR-C-D01-C01,VR-C-D01,2024Q1,0.3605,moderate,0.165929203539823,0.5303608096215899
VR-C-D01-C02,VR-C-D01,2024Q1,0.4554,moderate,0.5486725663716814,0.3872103256086829
VR-C-D01-C03,VR-C-D01,2024Q1,0.2272,low,0.0,0.0
VR-C-D02-C01,VR-C-D02,2024Q1,0.6349,high,0.45575221238938046,1.0
VR-C-D02-C02,VR-C-D02,2024Q1,0.3105,low,0.1349557522123893,0.4954532120856557
VR-C-D02-C03,VR-C-D02,2024Q1,0.3222,low,0.3274336283185841,0.2983279554121443
VR-C-D03-C01,VR-C-D03,2024Q1,0.5132,moderate,0.6238938053097345,0.7095922557934878
VR-C-D03-C02,VR-C-D03,2024Q1,0.1745,low,0.245575221238938,0.14608389557054852
VR-C-D03-C03,VR-C-D03,2024Q1,0.3564,moderate,0.45575221238938046,0.14725726019360516
VR-C-D04-C01,VR-C-D04,2024Q1,0.5253,moderate,0.8495575221238939,0.18715165737753006
VR-C-D04-C02,VR-C-D04,2024Q1,0.4728,moderate,0.5464601769911503,0.792021120563215
VR-C-D04-C03,VR-C-D04,2024Q1,0.3522,moderate,0.45575221238938046,0.1762980346142564
