code,name,level,parent_code,lon,lat
VR,Verdania,country,,32.5,0.0
VR-N,Northern Verdania,region,VR,32.0,1.5
VR-N-D01,Northern District 1,district,VR-N,31.75,1.3
VR-N-D02,Northern District 2,district,VR-N,32.3,1.3
VR-N-D03,Northern District 3,district,VR-N,31.75,1.75
VR-N-D04,Northern District 4,district,VR-N,32.3,1.75
VR-C,Central Verdania,region,VR,32.5,0.0
VR-C-D01,Central District 1,district,VR-C,32.25,-0.2
VR-C-D02,Central District 2,district,VR-C,32.8,-0.2
VR-C-D03,Central District 3,district,VR-C,32.25,0.25
VR-C-D04,Central District 4,district,VR-C,32.8,0.25
VR-S,Southern Verdania,region,VR,33.0,-1.5
VR-S-D01,Southern District 1,district,VR-S,32.75,-1.7
VR-S-D02,Southern District 2,district,VR-S,33.3,-1.7
VR-S-D03,Southern District 3,district,VR-S,32.75,-1.25
VR-S-D04,Southern District 4,district,VR-S,33.3,-1.25
