code,name,district_code,region_code,lon,lat
VR-N-D01-C01,Community 01,VR-N-D01,VR-N,31.63,1.26
VR-N-D01-C02,Community 02,VR-N-D01,VR-N,31.75,1.34
VR-N-D01-C03,Community 03,VR-N-D01,VR-N,31.87,1.26
VR-N-D02-C01,Community 04,VR-N-D02,VR-N,32.18,1.26
VR-N-D02-C02,Community 05,VR-N-D02,VR-N,32.3,1.34
VR-N-D02-C03,Community 06,VR-N-D02,VR-N,32.419999999999995,1.26
VR-N-D03-C01,Community 07,VR-N-D03,VR-N,31.63,1.71
VR-N-D03-C02,Community 08,VR-N-D03,VR-N,31.75,1.79
VR-N-D03-C03,Community 09,VR-N-D03,VR-N,31.87,1.71
VR-N-D04-C01,Community 10,VR-N-D04,VR-N,32.18,1.71
VR-N-D04-C02,Community 11,VR-N-D04,VR-N,32.3,1.79
VR-N-D04-C03,Community 12,VR-N-D04,VR-N,32.419999999999995,1.71
VR-C-D01-C01,Community 13,VR-C-D01,VR-C,32.13,-0.24000000000000002
VR-C-D01-C02,Community 14,VR-C-D01,VR-C,32.25,-0.16
VR-C-D01-C03,Community 15,VR-C-D01,VR-C,32.37,-0.24000000000000002
VR-C-D02-C01,Community 16,VR-C-D02,VR-C,32.68,-0.24000000000000002
VR-C-D02-C02,Community 17,VR-C-D02,VR-C,32.8,-0.16
VR-C-D02-C03,Community 18,VR-C-D02,VR-C,32.919999999999995,-0.24000000000000002
VR-C-D03-C01,Community 19,VR-C-D03,VR-C,32.13,0.21
VR-C-D03-C02,Community 20,VR-C-D03,VR-C,32.25,0.29000000000000004
VR-C-D03-C03,Community 21,VR-C-D03,VR-C,32.37,0.21
VR-C-D04-C01,Community 22,VR-C-D04,VR-C,32.68,0.21
VR-C-D04-C02,Community 23,VR-C-D04,VR-C,32.8,0.29000000000000004
VR-C-D04-C03,Community 24,VR-C-D04,VR-C,32.919999999999995,0.21
VR-S-D01-C01,Community 25,VR-S-D01,VR-S,32.63,-1.74
VR-S-D01-C02,Community 26,VR-S-D01,VR-S,32.75,-1.66
VR-S-D01-C03,Community 27,VR-S-D01,VR-S,32.87,-1.74
VR-S-D02-C01,Community 28,VR-S-D02,VR-S,33.18,-1.74
VR-S-D02-C02,Community 29,VR-S-D02,VR-S,33.3,-1.66
VR-S-D02-C03,Community 30,VR-S-D02,VR-S,33.419999999999995,-1.74
VR-S-D03-C01,Community 31,VR-S-D03,VR-S,32.63,-1.29
VR-S-D03-C02,Community 32,VR-S-D03,VR-S,32.75,-1.21
VR-S-D03-C03,Community 33,VR-S-D03,VR-S,32.87,-1.29
VR-S-D04-C01,Community 34,VR-S-D04,VR-S,33.18,-1.29
VR-S-D04-C02,Community 35,VR-S-D04,VR-S,33.3,-1.21
VR-S-D04-C03,Community 36,VR-S-D04,VR-S,33.419999999999995,-1.29
