site_code,community_code,district_code,period_code,pollutant,value,unit,sample_date
AQ-001,VR-N-D01-C01,VR-N-D01,2024Q1,PM2.5,60.1,ug/m3,2024-01-01
AQ-001,VR-N-D01-C01,VR-N-D01,2024Q1,NO2,19.4,ug/m3,2024-01-01
AQ-002,VR-N-D01-C02,VR-N-D01,2024Q1,PM2.5,60.5,ug/m3,2024-01-01
AQ-002,VR-N-D01-C02,VR-N-D01,2024Q1,NO2,23.4,ug/m3,2024-01-01
AQ-003,VR-N-D01-C03,VR-N-D01,2024Q1,PM2.5,34.0,ug/m3,2024-01-01
AQ-003,VR-N-D01-C03,VR-N-D01,2024Q1,NO2,30.1,ug/m3,2024-01-01
AQ-004,VR-N-D02-C01,VR-N-D02,2024Q1,PM2.5,46.6,ug/m3,2024-01-01
AQ-004,VR-N-D02-C01,VR-N-D02,2024Q1,NO2,31.0,ug/m3,2024-01-01
AQ-005,VR-N-D02-C02,VR-N-D02,2024Q1,PM2.5,40.0,ug/m3,2024-01-01
AQ-005,VR-N-D02-C02,VR-N-D02,2024Q1,NO2,20.9,ug/m3,2024-01-01
AQ-006,VR-N-D02-C03,VR-N-D02,2024Q1,PM2.5,30.4,ug/m3,2024-01-01
AQ-006,VR-N-D02-C03,VR-N-D02,2024Q1,NO2,32.6,ug/m3,2024-01-01
AQ-007,VR-N-D03-C01,VR-N-D03,2024Q1,PM2.5,42.5,ug/m3,2024-01-01
AQ-007,VR-N-D03-C01,INVALID,2024Q1,NO2,34.2,ug/m3,2024-01-01
AQ-008,VR-N-D03-C02,VR-N-D03,2024Q1,PM2.5,28.1,ug/m3,2024-01-01
AQ-008,VR-N-D03-C02,VR-N-D03,2024Q1,NO2,18.9,ug/m3,2024-01-01
AQ-009,VR-N-D03-C03,VR-N-D03,2024Q1,PM2.5,22.1,ug/m3,2024-03-31
AQ-009,VR-N-D03-C03,VR-N-D03,2024Q1,NO2,31.5,ug/m3,2024-03-31
AQ-010,VR-N-D04-C01,VR-N-D04,2024Q1,PM2.5,28.2,ug/m3,2024-01-01
AQ-010,VR-N-D04-C01,VR-N-D04,2024Q1,NO2,21.7,ug/m3,2024-01-01
AQ-011,VR-N-D04-C02,VR-N-D04,2024Q1,PM2.5,43.2,ug/m3,2024-01-01
AQ-011,VR-N-D04-C02,VR-N-D04,2024Q1,NO2,24.8,ug/m3,2024-01-01
AQ-012,VR-N-D04-C03,VR-N-D04,2024Q1,PM2.5,49.3,ug/m3,2024-01-01
AQ-012,VR-N-D04-C03,VR-N-D04,2024Q1,NO2,29.3,ug/m3,2024-01-01
AQ-013,VR-C-D01-C01,VR-C-D01,2024Q1,PM2.5,22.8,ug/m3,2024-01-01
AQ-013,VR-C-D01-C01,VR-C-D01,2024Q1,NO2,28.3,ug/m3,2024-01-01
AQ-014,VR-C-D01-C02,VR-C-D01,2024Q1,PM2.5,40.1,ug/m3,2024-01-01
AQ-014,VR-C-D01-C02,VR-C-D01,2024Q1,NO2,20.1,ug/m3,2024-01-01
AQ-015,VR-C-D01-C03,VR-C-D01,2024Q1,PM2.5,15.3,ug/m3,2024-01-01
AQ-015,VR-C-D01-C03,VR-C-D01,2024Q1,NO2,,ug/m3,2024-01-01
AQ-017,VR-C-D02-C02,VR-C-D02,2024Q1,PM2.5,21.4,ug/m3,2024-01-01
AQ-017,VR-C-D02-C02,VR-C-D02,2024Q1,NO2,35.0,ug/m3,2024-01-01
AQ-018,VR-C-D02-C03,VR-C-D02,2024Q1,PM2.5,30.1,ug/m3,2024-01-01
AQ-018,VR-C-D02-C03,VR-C-D02,2024Q1,NO2,24.5,ppm,2024-01-01
AQ-019,VR-C-D03-C01,VR-C-D03,2024Q1,PM2.5,43.5,ug/m3,2024-01-01
AQ-019,VR-C-D03-C01,VR-C-D03,2024Q1,NO2,27.0,ug/m3,2024-01-01
AQ-020,VR-C-D03-C02,VR-C-D03,2024Q1,PM2.5,26.4,ug/m3,2024-01-01
AQ-020,VR-C-D03-C02,VR-C-D03,2024Q1,NO2,11.6,ug/m3,2024-01-01
AQ-021,VR-C-D03-C03,VR-C-D03,2024Q1,PM2.5,35.9,ug/m3,2024-01-01
AQ-021,VR-C-D03-C03,VR-C-D03,2024Q1,NO2,31.5,ug/m3,2024-01-01
AQ-022,VR-C-D04-C01,VR-C-D04,2024Q1,PM2.5,53.7,ug/m3,2024-01-01
AQ-022,VR-C-D04-C01,VR-C-D04,2024Q1,NO2,14.3,ug/m3,2024-01-01
AQ-023,VR-C-D04-C02,VR-C-D04,2024Q1,PM2.5,40.0,ug/m3,2024-01-01
AQ-023,VR-C-D04-C02,VR-C-D04,2024Q1,NO2,15.4,ug/m3,2024-01-01
AQ-025,VR-S-D01-C01,INVALID,2024Q1,PM2.5,26.3,ug/m3,2024-01-01
AQ-025,VR-S-D01-C01,VR-S-D01,2024Q1,NO2,30.1,ug/m3,2024-01-01
AQ-026,VR-S-D01-C02,VR-S-D01,2024Q1,PM2.5,21.3,ug/m3,2024-01-01
AQ-026,VR-S-D01-C02,VR-S-D01,2024Q1,NO2,20.3,ug/m3,2024-01-01
AQ-027,VR-S-D01-C03,VR-S-D01,2024Q1,PM2.5,30.7,ug/m3,2024-01-01
AQ-027,VR-S-D01-C03,VR-S-D01,2024Q1,NO2,32.6,ug/m3,2024-01-01
AQ-028,VR-S-D02-C01,VR-S-D02,2024Q1,PM2.5,27.5,ug/m3,2024-01-01
AQ-028,VR-S-D02-C01,VR-S-D02,2024Q1,NO2,20.7,ug/m3,2024-01-01
AQ-029,VR-S-D02-C02,VR-S-D02,2024Q1,PM2.5,18.5,ug/m3,2024-01-01
AQ-029,VR-S-D02-C02,VR-S-D02,2024Q1,NO2,29.9,ug/m3,2024-01-01
AQ-030,VR-S-D02-C03,INVALID,2024Q1,PM2.5,33.7,ug/m3,2024-01-01
AQ-030,VR-S-D02-C03,VR-S-D02,2024Q1,NO2,38.0,ug/m3,2024-01-01
AQ-032,VR-S-D03-C02,VR-S-D03,2024Q1,PM2.5,36.4,ug/m3,2024-01-01
AQ-032,VR-S-D03-C02,VR-S-D03,2024Q1,NO2,17.6,ug/m3,2024-01-01
AQ-033,VR-S-D03-C03,VR-S-D03,2024Q1,PM2.5,23.4,ug/m3,2024-01-01
AQ-033,VR-S-D03-C03,INVALID,2024Q1,NO2,29.5,ug/m3,2024-01-01
AQ-034,VR-S-D04-C01,VR-S-D04,2024Q1,PM2.5,43.0,ug/m3,2024-01-01
AQ-034,VR-S-D04-C01,VR-S-D04,2024Q1,NO2,30.2,ug/m3,2024-01-01
AQ-035,VR-S-D04-C02,VR-S-D04,2024Q1,PM2.5,39.0,ug/m3,2024-03-31
AQ-035,VR-S-D04-C02,VR-S-D04,2024Q1,NO2,17.5,ug/m3,2024-01-01
AQ-036,VR-S-D04-C03,VR-S-D04,2024Q1,PM2.5,53.4,ug/m3,2024-01-01
AQ-036,VR-S-D04-C03,VR-S-D04,2024Q1,NO2,9999.0,ug/m3,2024-01-01
AQ-001,VR-N-D01-C01,VR-N-D01,2024Q2,PM2.5,55.7,ug/m3,2024-04-01
AQ-001,VR-N-D01-C01,VR-N-D01,2024Q2,NO2,23.2,ug/m3,2024-04-01
AQ-002,VR-N-D01-C02,VR-N-D01,2024Q2,PM2.5,58.7,ug/m3,2024-04-01
AQ-002,VR-N-D01-C02,VR-N-D01,2024Q2,NO2,24.0,ug/m3,2024-04-01
AQ-003,VR-N-D01-C03,VR-N-D01,2024Q2,PM2.5,42.6,ug/m3,2024-04-01
AQ-003,VR-N-D01-C03,VR-N-D01,2024Q2,NO2,26.6,ug/m3,2024-04-01
AQ-004,VR-N-D02-C01,VR-N-D02,2024Q2,PM2.5,53.3,ug/m3,2024-04-01
AQ-004,VR-N-D02-C01,VR-N-D02,2024Q2,NO2,23.1,ug/m3,2024-04-01
AQ-005,VR-N-D02-C02,VR-N-D02,2024Q2,PM2.5,31.0,ug/m3,2024-04-01
AQ-005,VR-N-D02-C02,VR-N-D02,2024Q2,NO2,21.7,ug/m3,2024-04-01
AQ-006,VR-N-D02-C03,VR-N-D02,2024Q2,PM2.5,42.8,ug/m3,2024-04-01
AQ-006,VR-N-D02-C03,VR-N-D02,2024Q2,NO2,37.4,ug/m3,2024-04-01
AQ-007,VR-N-D03-C01,VR-N-D03,2024Q2,PM2.5,38.9,ug/m3,2024-04-01
AQ-007,VR-N-D03-C01,VR-N-D03,2024Q2,NO2,40.5,ug/m3,2024-04-01
AQ-008,VR-N-D03-C02,VR-N-D03,2024Q2,PM2.5,32.3,ug/m3,2024-04-01
AQ-008,VR-N-D03-C02,VR-N-D03,2024Q2,NO2,30.3,ug/m3,2024-04-01
AQ-009,VR-N-D03-C03,VR-N-D03,2024Q2,PM2.5,25.2,ug/m3,2024-04-01
AQ-009,VR-N-D03-C03,VR-N-D03,2024Q2,NO2,,ug/m3,2024-04-01
AQ-010,VR-N-D04-C01,VR-N-D04,2024Q2,PM2.5,22.6,ug/m3,2024-04-01
AQ-010,VR-N-D04-C01,VR-N-D04,2024Q2,NO2,19.3,ug/m3,2024-04-01
AQ-011,VR-N-D04-C02,VR-N-D04,2024Q2,PM2.5,,ug/m3,2024-04-01
AQ-011,VR-N-D04-C02,VR-N-D04,2024Q2,NO2,26.4,ug/m3,2024-04-01
AQ-012,VR-N-D04-C03,VR-N-D04,2024Q2,PM2.5,54.8,ug/m3,2024-04-01
AQ-012,VR-N-D04-C03,VR-N-D04,2024Q2,NO2,24.0,ug/m3,2024-06-30
AQ-013,VR-C-D01-C01,VR-C-D01,2024Q2,PM2.5,20.9,ug/m3,2024-06-30
AQ-013,VR-C-D01-C01,VR-C-D01,2024Q2,NO2,32.1,ug/m3,2024-04-01
AQ-014,VR-C-D01-C02,VR-C-D01,2024Q2,PM2.5,28.1,ug/m3,2024-04-01
AQ-014,VR-C-D01-C02,VR-C-D01,2024Q2,NO2,20.3,ug/m3,2024-04-01
AQ-015,VR-C-D01-C03,VR-C-D01,2024Q2,PM2.5,16.4,ug/m3,2024-04-01
AQ-015,VR-C-D01-C03,VR-C-D01,2024Q2,NO2,36.0,ug/m3,2024-04-01
AQ-017,VR-C-D02-C02,VR-C-D02,2024Q2,PM2.5,23.8,ug/m3,2024-04-01
AQ-017,VR-C-D02-C02,VR-C-D02,2024Q2,NO2,32.3,ug/m3,2024-04-01
AQ-018,VR-C-D02-C03,VR-C-D02,2024Q2,PM2.5,29.0,ug/m3,2024-04-01
AQ-018,VR-C-D02-C03,VR-C-D02,2024Q2,NO2,9999.0,ug/m3,2024-04-01
AQ-019,VR-C-D03-C01,VR-C-D03,2024Q2,PM2.5,36.5,ug/m3,2024-04-01
AQ-019,VR-C-D03-C01,VR-C-D03,2024Q2,NO2,13.3,ug/m3,2024-04-01
AQ-020,VR-C-D03-C02,VR-C-D03,2024Q2,PM2.5,30.2,ug/m3,2024-04-01
AQ-020,VR-C-D03-C02,VR-C-D03,2024Q2,NO2,23.4,ug/m3,2024-04-01
AQ-021,VR-C-D03-C03,VR-C-D03,2024Q2,PM2.5,,ug/m3,2024-04-01
AQ-021,VR-C-D03-C03,VR-C-D03,2024Q2,NO2,32.3,ug/m3,2024-04-01
AQ-022,VR-C-D04-C01,VR-C-D04,2024Q2,PM2.5,56.5,ug/m3,2024-04-01
AQ-022,VR-C-D04-C01,VR-C-D04,2024Q2,NO2,10.4,ug/m3,2024-04-01
AQ-023,VR-C-D04-C02,VR-C-D04,2024Q2,PM2.5,47.2,ug/m3,2024-06-30
AQ-023,VR-C-D04-C02,VR-C-D04,2024Q2,NO2,,ug/m3,2024-06-30
AQ-025,VR-S-D01-C01,VR-S-D01,2024Q2,PM2.5,25.7,ug/m3,2024-04-01
AQ-025,VR-S-D01-C01,VR-S-D01,2024Q2,NO2,29.1,ug/m3,2024-06-30
AQ-026,VR-S-D01-C02,VR-S-D01,2024Q2,PM2.5,15.0,ug/m3,2024-04-01
AQ-026,VR-S-D01-C02,VR-S-D01,2024Q2,NO2,20.5,ug/m3,2024-04-01
AQ-027,VR-S-D01-C03,VR-S-D01,2024Q2,PM2.5,31.6,ug/m3,2024-04-01
AQ-027,VR-S-D01-C03,VR-S-D01,2024Q2,NO2,25.9,ug/m3,2024-04-01
AQ-028,VR-S-D02-C01,VR-S-D02,2024Q2,PM2.5,29.4,ug/m3,2024-04-01
AQ-028,VR-S-D02-C01,VR-S-D02,2024Q2,NO2,20.6,ug/m3,2024-04-01
AQ-029,VR-S-D02-C02,VR-S-D02,2024Q2,PM2.5,23.0,ug/m3,2024-04-01
AQ-029,VR-S-D02-C02,VR-S-D02,2024Q2,NO2,22.9,ug/m3,2024-04-01
AQ-030,VR-S-D02-C03,VR-S-D02,2024Q2,PM2.5,38.1,ug/m3,2024-04-01
AQ-030,VR-S-D02-C03,INVALID,2024Q2,NO2,22.0,ug/m3,2024-04-01
AQ-032,VR-S-D03-C02,VR-S-D03,2024Q2,PM2.5,,ug/m3,2024-04-01
AQ-032,VR-S-D03-C02,VR-S-D03,2024Q2,NO2,17.3,ug/m3,2024-04-01
AQ-033,VR-S-D03-C03,VR-S-D03,2024Q2,PM2.5,28.5,ug/m3,2024-04-01
AQ-033,VR-S-D03-C03,VR-S-D03,2024Q2,NO2,28.2,ug/m3,2024-04-01
AQ-034,VR-S-D04-C01,INVALID,2024Q2,PM2.5,41.4,ug/m3,2024-04-01
AQ-034,VR-S-D04-C01,VR-S-D04,2024Q2,NO2,31.2,ug/m3,2024-04-01
AQ-035,VR-S-D04-C02,VR-S-D04,2024Q2,PM2.5,34.8,ug/m3,2024-04-01
AQ-035,VR-S-D04-C02,VR-S-D04,2024Q2,NO2,15.2,ug/m3,2024-06-30
AQ-036,VR-S-D04-C03,VR-S-D04,2024Q2,PM2.5,51.7,ug/m3,2024-04-01
AQ-036,VR-S-D04-C03,VR-S-D04,2024Q2,NO2,12.5,ug/m3,2024-04-01
