code,name,facility_type,community_code,district_code,lon,lat,has_lab_access
HF-001,Community 01 Health Centre,hospital,VR-N-D01-C01,VR-N-D01,31.64,1.27,False
HF-002,Community 02 Health Centre,clinic,VR-N-D01-C02,VR-N-D01,31.76,1.35,True
HF-003,Community 03 Health Centre,hospital,VR-N-D01-C03,VR-N-D01,31.880000000000003,1.27,False
HF-004,Community 04 Health Centre,hospital,VR-N-D02-C01,VR-N-D02,32.19,1.27,True
HF-005,Community 05 Health Centre,clinic,VR-N-D02-C02,VR-N-D02,32.309999999999995,1.35,True
HF-006,Community 06 Health Centre,health_centre,VR-N-D02-C03,VR-N-D02,32.42999999999999,1.27,False
HF-007,Community 07 Health Centre,clinic,VR-N-D03-C01,VR-N-D03,31.64,1.72,True
HF-008,Community 08 Health Centre,health_centre,VR-N-D03-C02,VR-N-D03,31.76,1.8,True
HF-009,Community 09 Health Centre,health_centre,VR-N-D03-C03,VR-N-D03,31.880000000000003,1.72,False
HF-010,Community 10 Health Centre,health_centre,VR-N-D04-C01,VR-N-D04,32.19,1.72,True
HF-011,Community 11 Health Centre,clinic,VR-N-D04-C02,VR-N-D04,32.309999999999995,1.8,True
HF-012,Community 12 Health Centre,health_centre,VR-N-D04-C03,VR-N-D04,32.42999999999999,1.72,True
HF-013,Community 13 Health Centre,hospital,VR-C-D01-C01,VR-C-D01,32.14,-0.23,True
HF-014,Community 14 Health Centre,hospital,VR-C-D01-C02,VR-C-D01,32.26,-0.15,False
HF-015,Community 15 Health Centre,hospital,VR-C-D01-C03,VR-C-D01,32.379999999999995,-0.23,True
HF-016,Community 16 Health Centre,clinic,VR-C-D02-C01,VR-C-D02,32.69,-0.23,False
HF-017,Community 17 Health Centre,health_centre,VR-C-D02-C02,VR-C-D02,32.809999999999995,-0.15,False
HF-018,Community 18 Health Centre,hospital,VR-C-D02-C03,VR-C-D02,32.92999999999999,-0.23,False
HF-019,Community 19 Health Centre,hospital,VR-C-D03-C01,VR-C-D03,32.14,0.22,True
HF-020,Community 20 Health Centre,hospital,VR-C-D03-C02,VR-C-D03,32.26,0.30000000000000004,True
HF-021,Community 21 Health Centre,hospital,VR-C-D03-C03,VR-C-D03,32.379999999999995,0.22,True
HF-022,Community 22 Health Centre,hospital,VR-C-D04-C01,VR-C-D04,32.69,0.22,False
HF-023,Community 23 Health Centre,health_centre,VR-C-D04-C02,VR-C-D04,32.809999999999995,0.30000000000000004,True
HF-024,Community 24 Health Centre,hospital,VR-C-D04-C03,VR-C-D04,32.92999999999999,0.22,True
HF-025,Community 25 Health Centre,clinic,VR-S-D01-C01,VR-S-D01,32.64,-1.73,True
HF-026,Community 26 Health Centre,hospital,VR-S-D01-C02,VR-S-D01,32.76,-1.65,True
HF-027,Community 27 Health Centre,clinic,VR-S-D01-C03,VR-S-D01,32.879999999999995,-1.73,True
HF-028,Community 28 Health Centre,clinic,VR-S-D02-C01,VR-S-D02,33.19,-1.73,True
HF-029,Community 29 Health Centre,health_centre,VR-S-D02-C02,VR-S-D02,33.309999999999995,-1.65,True
HF-030,Community 30 Health Centre,clinic,VR-S-D02-C03,VR-S-D02,33.42999999999999,-1.73,False
HF-031,Community 31 Health Centre,hospital,VR-S-D03-C01,VR-S-D03,32.64,-1.28,True
HF-032,Community 32 Health Centre,hospital,VR-S-D03-C02,VR-S-D03,32.76,-1.2,True
HF-033,Community 33 Health Centre,hospital,VR-S-D03-C03,VR-S-D03,32.879999999999995,-1.28,True
HF-034,Community 34 Health Centre,health_centre,VR-S-D04-C01,VR-S-D04,33.19,-1.28,True
HF-035,Community 35 Health Centre,hospital,VR-S-D04-C02,VR-S-D04,33.309999999999995,-1.2,True
HF-036,Community 36 Health Centre,clinic,VR-S-D04-C03,VR-S-D04,33.42999999999999,-1.28,True
