facility_code,community_code,district_code,period_code,indicator_code,indicator_name,value,population_at_risk,age_group,reported_at,cases
HF-001,VR-N-D01-C01,VR-N-D01,2024Q1,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",15.33,2870,all,2024-03-31,44
HF-002,VR-N-D01-C02,VR-N-D01,2024Q1,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",33.67,4514,all,2024-03-31,152
HF-003,VR-N-D01-C03,VR-N-D01,2024Q1,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",38.13,1626,all,2024-03-31,62
HF-004,VR-N-D02-C01,VR-N-D02,2024Q1,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",27.98,2073,all,2024-03-31,58
HF-005,VR-N-D02-C02,VR-N-D02,2024Q1,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",33.9,2478,all,2024-03-31,84
HF-006,VR-N-D02-C03,VR-N-D02,2024Q1,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",37.1,2830,all,2024-03-31,105
HF-007,VR-N-D03-C01,VR-N-D03,2024Q1,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",32.17,4352,all,2024-03-31,140
HF-008,VR-N-D03-C02,VR-N-D03,2024Q1,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",25.44,3223,all,2024-03-31,82
HF-009,VR-N-D03-C03,VR-N-D03,2024Q1,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",27.83,2443,all,2024-03-31,68
HF-010,VR-N-D04-C01,VR-N-D04,2024Q1,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",31.54,4566,all,2025-02-15,144
HF-011,VR-N-D04-C02,VR-N-D04,2024Q1,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",31.88,4392,all,2025-02-15,140
HF-UNKNOWN,VR-N-D04-C03,VR-N-D04,2024Q1,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",35.68,3672,all,2024-03-31,131
HF-013,VR-C-D01-C01,VR-C-D01,2024Q1,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",26.79,4330,all,2024-03-31,116
HF-014,VR-C-D01-C02,VR-C-D01,2024Q1,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",21.91,913,all,2024-03-31,20
HF-015,VR-C-D01-C03,VR-C-D01,2024Q1,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",8.71,4361,all,2025-02-15,38
HF-016,VR-C-D02-C01,VR-C-D02,2024Q1,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",42.8,3598,all,2024-03-31,154
HF-017,VR-C-D02-C02,VR-C-D02,2024Q1,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",25.6,3711,all,2024-03-31,95
HF-018,VR-C-D02-C03,VR-C-D02,2024Q1,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",18.88,1377,all,2024-03-31,26
HF-019,VR-C-D03-C01,VR-C-D03,2024Q1,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",32.9,3951,all,2024-03-31,130
HF-020,VR-C-D03-C02,VR-C-D03,2024Q1,RESP_ENC_RATE,"Respiratory encounter rate per 1,000",13.69,1388,all,2024-03-31,19
