code,name,community_code,district_code,lon,lat,site_type
AQ-001,Community 01 Air Quality Station,VR-N-D01-C01,VR-N-D01,31.619999999999997,1.25,ambient_air
AQ-002,Community 02 Air Quality Station,VR-N-D01-C02,VR-N-D01,31.74,1.33,ambient_air
AQ-003,Community 03 Air Quality Station,VR-N-D01-C03,VR-N-D01,31.86,1.25,ambient_air
AQ-004,Community 04 Air Quality Station,VR-N-D02-C01,VR-N-D02,32.17,1.25,ambient_air
AQ-005,Community 05 Air Quality Station,VR-N-D02-C02,VR-N-D02,32.29,1.33,ambient_air
AQ-006,Community 06 Air Quality Station,VR-N-D02-C03,VR-N-D02,32.41,1.25,ambient_air
AQ-007,Community 07 Air Quality Station,VR-N-D03-C01,VR-N-D03,31.619999999999997,1.7,ambient_air
AQ-008,Community 08 Air Quality Station,VR-N-D03-C02,VR-N-D03,31.74,1.78,ambient_air
AQ-009,Community 09 Air Quality Station,VR-N-D03-C03,VR-N-D03,31.86,1.7,ambient_air
AQ-010,Community 10 Air Quality Station,VR-N-D04-C01,VR-N-D04,32.17,1.7,ambient_air
AQ-011,Community 11 Air Quality Station,VR-N-D04-C02,VR-N-D04,32.29,1.78,ambient_air
AQ-012,Community 12 Air Quality Station,VR-N-D04-C03,VR-N-D04,32.41,1.7,ambient_air
AQ-013,Community 13 Air Quality Station,VR-C-D01-C01,VR-C-D01,32.120000000000005,-0.25,ambient_air
AQ-014,Community 14 Air Quality Station,VR-C-D01-C02,VR-C-D01,32.24,-0.17,ambient_air
AQ-015,Community 15 Air Quality Station,VR-C-D01-C03,VR-C-D01,32.36,-0.25,ambient_air
AQ-017,Community 17 Air Quality Station,VR-C-D02-C02,VR-C-D02,32.79,-0.17,ambient_air
AQ-018,Community 18 Air Quality Station,VR-C-D02-C03,VR-C-D02,32.91,-0.25,ambient_air
AQ-019,Community 19 Air Quality Station,VR-C-D03-C01,VR-C-D03,32.120000000000005,0.19999999999999998,ambient_air
AQ-020,Community 20 Air Quality Station,VR-C-D03-C02,VR-C-D03,32.24,0.28,ambient_air
AQ-021,Community 21 Air Quality Station,VR-C-D03-C03,VR-C-D03,32.36,0.19999999999999998,ambient_air
AQ-022,Community 22 Air Quality Station,VR-C-D04-C01,VR-C-D04,32.67,0.19999999999999998,ambient_air
AQ-023,Community 23 Air Quality Station,VR-C-D04-C02,VR-C-D04,32.79,0.28,ambient_air
AQ-025,Community 25 Air Quality Station,VR-S-D01-C01,VR-S-D01,32.620000000000005,-1.75,ambient_air
AQ-026,Community 26 Air Quality Station,VR-S-D01-C02,VR-S-D01,32.74,-1.67,ambient_air
AQ-027,Community 27 Air Quality Station,VR-S-D01-C03,VR-S-D01,32.86,-1.75,ambient_air
AQ-028,Community 28 Air Quality Station,VR-S-D02-C01,VR-S-D02,33.17,-1.75,ambient_air
AQ-029,Community 29 Air Quality Station,VR-S-D02-C02,VR-S-D02,33.29,-1.67,ambient_air
AQ-030,Community 30 Air Quality Station,VR-S-D02-C03,VR-S-D02,33.41,-1.75,ambient_air
AQ-032,Community 32 Air Quality Station,VR-S-D03-C02,VR-S-D03,32.74,-1.22,ambient_air
AQ-033,Community 33 Air Quality Station,VR-S-D03-C03,VR-S-D03,32.86,-1.3,ambient_air
AQ-034,Community 34 Air Quality Station,VR-S-D04-C01,VR-S-D04,33.17,-1.3,ambient_air
AQ-035,Community 35 Air Quality Station,VR-S-D04-C02,VR-S-D04,33.29,-1.22,ambient_air
AQ-036,Community 36 Air Quality Station,VR-S-D04-C03,VR-S-D04,33.41,-1.3,ambient_air
