community_code,district_code,period_code,total_population,under5,elderly_65plus,female,male
VR-N-D01-C01,VR-N-D01,2024Q1,2781.0,441,326,1457,1324
VR-N-D01-C02,VR-N-D01,2024Q1,6546.0,905,714,3355,3191
VR-N-D01-C03,VR-N-D01,2024Q1,3182.0,393,208,1678,1504
VR-N-D02-C01,VR-N-D02,2024Q1,8891.0,1278,994,4309,4582
VR-N-D02-C02,VR-N-D02,2024Q1,2765.0,484,147,1450,1315
VR-N-D02-C03,VR-N-D02,2024Q1,2121.0,330,207,1095,1026
VR-N-D03-C01,VR-N-D03,2024Q1,1214.0,176,130,592,622
VR-N-D03-C02,VR-N-D03,2024Q1,6337.0,937,354,3049,3288
VR-N-D03-C03,VR-N-D03,2024Q1,4901.0,610,351,2472,2429
VR-N-D04-C01,VR-N-D04,2024Q1,3367.0,575,234,1691,1676
VR-N-D04-C02,VR-N-D04,2024Q1,1739.0,182,174,892,847
VR-N-D04-C03,VR-N-D04,2024Q1,6503.0,957,548,3394,3109
VR-C-D01-C01,VR-C-D01,2024Q1,2021.0,278,223,1018,1003
VR-C-D01-C02,VR-C-D01,2024Q1,4417.0,759,459,2269,2148
VR-C-D01-C03,VR-C-D01,2024Q1,8726.0,1559,1027,4541,4185
VR-C-D02-C01,VR-C-D02,2024Q1,2475.0,444,223,1291,1184
VR-C-D02-C02,VR-C-D02,2024Q1,6912.0,905,496,3430,3482
VR-C-D02-C03,VR-C-D02,2024Q1,4240.0,635,346,2124,2116
VR-C-D03-C01,VR-C-D03,2024Q1,6165.0,1079,702,3132,3033
VR-C-D03-C02,VR-C-D03,2024Q1,6743.0,895,476,3400,3343
VR-C-D03-C03,VR-C-D03,2024Q1,2978.0,442,284,1435,1543
VR-C-D04-C01,VR-C-D04,2024Q1,1276.0,221,142,613,663
VR-C-D04-C02,VR-C-D04,2024Q1,1604.0,249,76,839,765
VR-C-D04-C03,VR-C-D04,2024Q1,6068.0,737,445,3108,2960
VR-S-D01-C01,VR-S-D01,2024Q1,3775.0,606,412,1966,1809
VR-S-D01-C02,VR-S-D01,2024Q1,,750,732,3549,3225
VR-S-D01-C03,VR-S-D01,2024Q1,1919.0,230,146,1009,910
VR-S-D02-C01,VR-S-D02,2024Q1,8315.0,1254,415,4003,4312
VR-S-D02-C02,VR-S-D02,2024Q1,7765.0,1141,527,3790,3975
VR-S-D02-C03,VR-S-D02,2024Q1,2268.0,296,120,1153,1115
VR-S-D03-C01,VR-S-D03,2024Q1,6923.0,841,503,3329,3594
VR-S-D03-C02,VR-S-D03,2024Q1,6249.0,948,550,3002,3247
VR-S-D03-C03,VR-S-D03,2024Q1,8958.0,1356,662,4468,4490
VR-S-D04-C01,VR-S-D04,2024Q1,1546.0,256,110,749,797
VR-S-D04-C02,VR-S-D04,2024Q1,8365.0,1269,742,4140,4225
VR-S-D04-C03,VR-S-D04,2024Q1,2917.0,492,177,1503,1414
VR-N-D01-C01,VR-N-D01,2024Q2,6987.0,1201,729,3634,3353
VR-N-D01-C02,VR-N-D01,2024Q2,7371.0,1123,883,3633,3738
VR-N-D01-C03,VR-N-D01,2024Q2,1410.0,205,77,728,682
VR-N-D02-C01,VR-N-D02,2024Q2,8781.0,1350,707,4586,4195
VR-N-D02-C02,VR-N-D02,2024Q2,6853.0,755,415,3566,3287
VR-N-D02-C03,VR-N-D02,2024Q2,7809.0,836,534,4038,3771
