community_code,district_code,period_code,indicator_code,indicator_name,value,unit
VR-N-D01-C01,VR-N-D01,2024Q1,POVERTY_INDEX,Multidimensional poverty index,0.366,index_0_1
VR-N-D01-C01,VR-N-D01,2024Q1,URBANIZATION,Urbanization share,0.181,proportion
VR-N-D01-C02,VR-N-D01,2024Q1,POVERTY_INDEX,Multidimensional poverty index,0.243,index_0_1
VR-N-D01-C02,VR-N-D01,2024Q1,URBANIZATION,Urbanization share,0.777,proportion
VR-N-D01-C03,VR-N-D01,2024Q1,POVERTY_INDEX,Multidimensional poverty index,0.247,index_0_1
VR-N-D01-C03,VR-N-D01,2024Q1,URBANIZATION,Urbanization share,0.686,proportion
VR-N-D02-C01,VR-N-D02,2024Q1,POVERTY_INDEX,Multidimensional poverty index,0.5,index_0_1
VR-N-D02-C01,VR-N-D02,2024Q1,URBANIZATION,Urbanization share,0.125,proportion
VR-N-D02-C02,VR-N-D02,2024Q1,POVERTY_INDEX,Multidimensional poverty index,0.208,index_0_1
VR-N-D02-C02,VR-N-D02,2024Q1,URBANIZATION,Urbanization share,0.252,proportion
VR-N-D02-C03,VR-N-D02,2024Q1,POVERTY_INDEX,Multidimensional poverty index,0.31,index_0_1
VR-N-D02-C03,VR-N-D02,2024Q1,URBANIZATION,Urbanization share,0.14,proportion
VR-N-D03-C01,VR-N-D03,2024Q1,POVERTY_INDEX,Multidimensional poverty index,0.394,index_0_1
VR-N-D03-C01,VR-N-D03,2024Q1,URBANIZATION,Urbanization share,0.63,proportion
VR-N-D03-C02,VR-N-D03,2024Q1,POVERTY_INDEX,Multidimensional poverty index,0.316,index_0_1
VR-N-D03-C02,VR-N-D03,2024Q1,URBANIZATION,Urbanization share,0.775,proportion
VR-N-D03-C03,VR-N-D03,2024Q1,POVERTY_INDEX,Multidimensional poverty index,0.202,index_0_1
VR-N-D03-C03,VR-N-D03,2024Q1,URBANIZATION,Urbanization share,0.248,proportion
VR-N-D04-C01,VR-N-D04,2024Q1,POVERTY_INDEX,Multidimensional poverty index,0.415,index_0_1
VR-N-D04-C01,VR-N-D04,2024Q1,URBANIZATION,Urbanization share,0.315,proportion
VR-N-D04-C02,VR-N-D04,2024Q1,POVERTY_INDEX,Multidimensional poverty index,0.346,index_0_1
VR-N-D04-C02,VR-N-D04,2024Q1,URBANIZATION,Urbanization share,0.877,proportion
VR-N-D04-C03,VR-N-D04,2024Q1,POVERTY_INDEX,Multidimensional poverty index,0.389,index_0_1
VR-N-D04-C03,VR-N-D04,2024Q1,URBANIZATION,Urbanization share,0.794,proportion
VR-C-D01-C01,VR-C-D01,2024Q1,POVERTY_INDEX,Multidimensional poverty index,0.665,index_0_1
VR-C-D01-C01,VR-C-D01,2024Q1,URBANIZATION,Urbanization share,0.502,proportion
VR-C-D01-C02,VR-C-D01,2024Q1,POVERTY_INDEX,Multidimensional poverty index,0.219,index_0_1
VR-C-D01-C02,VR-C-D01,2024Q1,URBANIZATION,Urbanization share,0.238,proportion
VR-C-D01-C03,VR-C-D01,2024Q1,POVERTY_INDEX,Multidimensional poverty index,0.391,index_0_1
VR-C-D01-C03,VR-C-D01,2024Q1,URBANIZATION,Urbanization share,0.448,proportion
VR-C-D02-C01,VR-C-D02,2024Q1,POVERTY_INDEX,Multidimensional poverty index,0.669,index_0_1
VR-C-D02-C01,VR-C-D02,2024Q1,URBANIZATION,Urbanization share,0.154,proportion
VR-C-D02-C02,VR-C-D02,2024Q1,POVERTY_INDEX,Multidimensional poverty index,0.411,index_0_1
VR-C-D02-C02,VR-C-D02,2024Q1,URBANIZATION,Urbanization share,0.729,proportion
VR-C-D02-C03,VR-C-D02,2024Q1,POVERTY_INDEX,Multidimensional poverty index,0.234,index_0_1
VR-C-D02-C03,VR-C-D02,2024Q1,URBANIZATION,Urbanization share,0.707,proportion
VR-C-D03-C01,VR-C-D03,2024Q1,POVERTY_INDEX,Multidimensional poverty index,0.313,index_0_1
VR-C-D03-C01,VR-C-D03,2024Q1,URBANIZATION,Urbanization share,0.375,proportion
VR-C-D03-C02,VR-C-D03,2024Q1,POVERTY_INDEX,Multidimensional poverty index,0.171,index_0_1
VR-C-D03-C02,VR-C-D03,2024Q1,URBANIZATION,Urbanization share,0.215,proportion
VR-C-D03-C03,VR-C-D03,2024Q1,POVERTY_INDEX,Multidimensional poverty index,0.339,index_0_1
VR-C-D03-C03,VR-C-D03,2024Q1,URBANIZATION,Urbanization share,0.697,proportion
